,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
59,My Kind of Woman,0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,audio_features,6jgkEbmQ2F2onEqsEhiliL,spotify:track:6jgkEbmQ2F2onEqsEhiliL,https://api.spotify.com/v1/tracks/6jgkEbmQ2F2onEqsEhiliL,https://api.spotify.com/v1/audio-analysis/6jgkEbmQ2F2onEqsEhiliL,190846,4
60,Thillele (Irular Tribe Festival Song),0.774,0.654,8,-9.24,1,0.23,0.0204,0.0044,0.889,0.562,139.962,audio_features,4vxVL9W7f3uG5pEHFj96p0,spotify:track:4vxVL9W7f3uG5pEHFj96p0,https://api.spotify.com/v1/tracks/4vxVL9W7f3uG5pEHFj96p0,https://api.spotify.com/v1/audio-analysis/4vxVL9W7f3uG5pEHFj96p0,228857,4
61,Lemonade,0.789,0.744,1,-7.245,1,0.0414,0.281,0.0,0.0763,0.783,143.998,audio_features,3ZGJhN4unVspOqpwGvUL2W,spotify:track:3ZGJhN4unVspOqpwGvUL2W,https://api.spotify.com/v1/tracks/3ZGJhN4unVspOqpwGvUL2W,https://api.spotify.com/v1/audio-analysis/3ZGJhN4unVspOqpwGvUL2W,166667,4
62,bellyache,0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,audio_features,51NFxnQvaosfDDutk0tams,spotify:track:51NFxnQvaosfDDutk0tams,https://api.spotify.com/v1/tracks/51NFxnQvaosfDDutk0tams,https://api.spotify.com/v1/audio-analysis/51NFxnQvaosfDDutk0tams,179172,4
63,Nobody,0.398,0.717,0,-5.253,1,0.0398,0.07,0.0,0.085,0.487,117.296,audio_features,2P5yIMu2DNeMXTyOANKS6k,spotify:track:2P5yIMu2DNeMXTyOANKS6k,https://api.spotify.com/v1/tracks/2P5yIMu2DNeMXTyOANKS6k,https://api.spotify.com/v1/audio-analysis/2P5yIMu2DNeMXTyOANKS6k,193429,4
64,Khamoshiyan,0.527,0.521,2,-6.837,0,0.0272,0.631,0.0,0.158,0.266,143.892,audio_features,6zCQF5tu7HVwU9shhKqiuF,spotify:track:6zCQF5tu7HVwU9shhKqiuF,https://api.spotify.com/v1/tracks/6zCQF5tu7HVwU9shhKqiuF,https://api.spotify.com/v1/audio-analysis/6zCQF5tu7HVwU9shhKqiuF,335710,3
65,The Reason,0.472,0.671,4,-4.649,1,0.029,0.0129,0.0,0.159,0.0681,82.952,audio_features,77loZpT5Y5PRP1S451P9Yz,spotify:track:77loZpT5Y5PRP1S451P9Yz,https://api.spotify.com/v1/tracks/77loZpT5Y5PRP1S451P9Yz,https://api.spotify.com/v1/audio-analysis/77loZpT5Y5PRP1S451P9Yz,232800,4
66,Puthiyoru Lokam,0.564,0.685,3,-7.587,1,0.0533,0.818,0.0725,0.338,0.463,98.0,audio_features,6OWmzBFKegOgCU525MNQny,spotify:track:6OWmzBFKegOgCU525MNQny,https://api.spotify.com/v1/tracks/6OWmzBFKegOgCU525MNQny,https://api.spotify.com/v1/audio-analysis/6OWmzBFKegOgCU525MNQny,201744,4
67,When You Love Someone,0.675,0.444,7,-6.067,1,0.028,0.248,0.0,0.0531,0.356,125.884,audio_features,1o6YK7phnXgsljfWSQQfWc,spotify:track:1o6YK7phnXgsljfWSQQfWc,https://api.spotify.com/v1/tracks/1o6YK7phnXgsljfWSQQfWc,https://api.spotify.com/v1/audio-analysis/1o6YK7phnXgsljfWSQQfWc,216373,4
68,Asal Mein,0.656,0.551,8,-6.43,1,0.0299,0.721,1.26e-06,0.0947,0.329,114.106,audio_features,0rMeOAvbQZ2RTG4B6L1M4p,spotify:track:0rMeOAvbQZ2RTG4B6L1M4p,https://api.spotify.com/v1/tracks/0rMeOAvbQZ2RTG4B6L1M4p,https://api.spotify.com/v1/audio-analysis/0rMeOAvbQZ2RTG4B6L1M4p,224240,4
